ID,Distribution_ID,Text_Fragment,URL,Source,Potential EE (Solved Kappa),Duplicado,Relacionado,Main-Feature,Tipo da Melhoria,Classificação,,,,Distribution,#
DP18,D1,Improve intraprocess communication behavior (Improve intraprocess communication behavior #649),-,Main Meta-Ticket,Yes,,,,"intraprocessos, comunicacao",,,,,,
DP19,D1,Launch improvements for composable C++ nodes (Launch composable C++ nodes launch_ros#6),-,Main Meta-Ticket,Yes,,,,"composição e inicialização de nós C++ / componentes modulares, arquitetura ",,,,,,
DP20,D1,Launch improvements for launch-based testing (Launch-based Testing launch#161),-,Main Meta-Ticket,No,,,,,,,,,,
DP21,D1,Remove legacy launch API (Remove legacy API launch#159),-,Main Meta-Ticket,No,,,,,,,,,,
DP22,D1,"""Simple"" launch file format (XML/YAML Front-end launch#163) (Adds ROS 2 launch XML format design document design#207)",-,Main Meta-Ticket,No,,,,,,,,,,
DP23,D1,Read-only (and general refresh of declare parameters) (Read only parameters rclcpp#495),-,Main Meta-Ticket,No,,,,,,,,,,
DP24,D1,Declaration of a value range (Parameters support ranges rcl_interfaces#72),-,Main Meta-Ticket,No,,,,,,,,,,
DP25,D1,Automatically enforce range limits (Range support for parameters rclpy#350),-,Main Meta-Ticket,No,,,,,,,,,,
DP26,D1,Improve memory management (Memory management improvements #590),-,Main Meta-Ticket,Yes,,,,gerenciamento de memória,,,,,,
DP27,D1,fix memory leak affecting rclpy (fix leak in __wait_set_clean_up rcl#418),-,Main Meta-Ticket,Yes,,,,correção de vazamento de memória,,,,,,
DP28,D1,rosbridge_suite (Porting rosapi package. RobotWebTools/rosbridge_suite#388),-,Main Meta-Ticket,No,,,,,,,,,,
DP29,D1,Roll out incremental CI jobs (Add CI jobs ros-infrastructure/ros_buildfarm#590),-,Main Meta-Ticket,No,,,,,,,,,,
DP30,D1,"RPM packages (Modernize RPM spec file templates ros-infrastructure/bloom#533, Add Ament package support to RPM generation ros-infrastructure/bloom#534)",-,Main Meta-Ticket,No,,,,,,,,,,
DP38,D1,Provide an initial framework: https://github.com/ApexAI/apex_rostest,-,Main Meta-Ticket,No,,,,,,,,,,
DP39,D1,"Motion planning: Port of MoveIt! to ROS 2, MoveIt 2 https://github.com/AcutronicRobotics/moveit2#progress",-,Main Meta-Ticket,No,,,-,,,,,,,
DP40,D1,CI https://github.com/AcutronicRobotics/moveit2#continuous-integration-status,-,Main Meta-Ticket,No,,,DP39,,,,,,,
DP41,D1,The Python client library has been updated to match most of the C++ equivalent and some important bug fixes and improvements,-,Documentation,Yes,,,,"paridade de funcionalidades, correções de bugs",,,,,,
DP42,D1,The Python type for arrays/sequences of numeric values has been changed [...] ensures that each item in the array/sequence complies with the value range restrictions of the numeric type. The numeric values can be stored more efficiently in memory [...],-,Documentation,Yes,,,,"otimização de dados, eficiência de memória",,,,,,
DP43,D2,"API to loan message for zero copy, used by rmw_iceoryx",-,Documentation,No,,,,,,,,,,
DP44,D2,Improved performance of sourcing setup files,-,Documentation,No,,,,,,,,,,
DP45,D2,Static transform broadcasters and listeners now use QoS durability transient_local on the /tf_static topic,-,Documentation,Yes,,,,"QoS, continuidade da comunicação",,,,,,
DP46,D2,Support for markup-based launch files (XML/YAML),-,Documentation,No,,,,,,,,,,
DP47,D2,Improved launch-based testing,-,Documentation,No,,,,,,,,,,
DP48,D2,Passing key-value parameters on CLI,-,Documentation,No,,,,,,,,,,
DP49,D2,Support stream logging macros,-,Documentation,No,,,,,,,,,,
DP50,D2,Per-node logging - All stdout/stderr output from nodes are logged in ~/.ros,-,Documentation,No,,,,,,,,,,
DP51,D2,ros2doctor,-,Documentation,No,,,,,,,,,,
DP52,D2,"rviz: interactive markers, torque ring, tf message filters",-,Documentation,No,,,,,,,,,,
DP53,D2,"rqt: parameter plugin, tf tree plugin, robot steering plugin (also backported to Dashing)",-,Documentation,No,,,,,,,,,,
DP54,D2,turtlesim (also backported to Dashing),-,Documentation,No,,,,,,,,,,
DP55,D2,"RMW implementations: ""API to loan message for zero copy, used by rmw_iceoryx""
""Fast RTPS 1.9.3""
""New Tier-2 implementation: rmw_cyclonedds (also backported to Dashing)""",-,Documentation,Yes,,,,"eficiência de memória, comunicação",,,,,,
DP56,D2,Environment variable ROS_LOCALHOST_ONLY to limit communication to localhost,-,Documentation,Yes,,,,"comunicação, segurança",,,,,,
DP57,D2,MacOS Mojave Support,-,Documentation,No,,,,,,,,,,
DP58,D2,Tracing instrumentation for rcl and rclcpp,-,Documentation,No,,,,,,,,,,
DP59,D2,Add ROS 2 command line arguments design document design,https://github.com/ros2/design/pull/245,Main Meta-Ticket,No,,,,,,,,,,
DP60,D2,Migrate to '--ros-args ... [--]'-based ROS args extraction rcl,https://github.com/ros2/rcl/pull/477,Main Meta-Ticket,No,,,,,,,,,,
DP61,D2,Fail fast on invalid ROS arguments rcl,https://github.com/ros2/rcl/pull/493,Main Meta-Ticket,No,,,,,,,,,,
DP62,D2,Promote special CLI rules to flags rcl,https://github.com/ros2/rcl/pull/495,Main Meta-Ticket,No,,,,,,,,,,
DP63,D2,Adds ROS 2 launch XML format design document design,https://github.com/ros2/design/pull/207,Main Meta-Ticket,No,,,,,,,,,,
DP64,D2,Propose ROS 2 launch front-end design hints. design,https://github.com/ros2/design/pull/208,Main Meta-Ticket,No,,,,,,,,,,
DP65,D2,"Add frontend module in launch, launch_xml and launch_yaml packages launch",https://github.com/ros2/launch/pull/226,Main Meta-Ticket,No,,,,,,,,,,
DP66,D2,"Add frontend parsing methods for Node, ExecutableInPackage and FindPackage substitution launch_ros",https://github.com/ros2/launch_ros/pull/23,Main Meta-Ticket,No,,,,,,,,,,
DP67,D2,Launch file migration guide ros2_documentation,https://github.com/ros2/ros2_documentation/pull/302,Main Meta-Ticket,No,,,,,,,,,,
DP68,D2,Make daemon “reset” itself when the IP address changes ros2cli,https://github.com/ros2/ros2cli/pull/284,Main Meta-Ticket,No,,,,,,,,,,
DP69,D2,Migrate InteractiveMarkerDisplay rviz,https://github.com/ros2/rviz/pull/457,Main Meta-Ticket,No,,,,,,,,,,
DP70,D2,Migrate Wrench Display rviz,https://github.com/ros2/rviz/pull/396,Main Meta-Ticket,No,,,,,,,,,,
DP71,D2,Re-enable use of tf message filter rviz,https://github.com/ros2/rviz/pull/375,Main Meta-Ticket,No,,,,,,,,,,
DP72,D2,Dashing devel followup ros-visualization/rqt_reconfigure,https://github.com/ros-visualization/rqt_reconfigure/pull/38,Main Meta-Ticket,No,,,,,,,,,,
DP73,D2,RQT Parameters for Ros2 ros-visualization/rqt_reconfigure,https://github.com/ros-visualization/rqt_reconfigure/pull/31,Main Meta-Ticket,No,,,,,,,,,,
DP74,D2,Add Ament package support to RPM generation ros-infrastructure/bloom,https://github.com/ros-infrastructure/bloom/pull/534,Main Meta-Ticket,No,,,,,,,,,,
DP75,D2,ROS 2 Performance Test Infrastructure,https://github.com/ros2/ros2/issues/812,Main Meta-Ticket,No,,,,,,,,,,
DP76,D2,Reconsider Node to Participant mapping design,https://github.com/ros2/design/pull/250,Main Meta-Ticket,No,,,,,,,,,,
DP77,D2,add design document for node name uniqueness design,https://github.com/ros2/design/issues/187,Main Meta-Ticket,No,,,,,,,,,,
DP78,D2,Release Testing Automation - Iteration,https://github.com/ros2/ros2/issues/739,Main Meta-Ticket,No,,,,,,,,,,
DP79,D2,Add osx mojave CI jobs ci,https://github.com/ros2/ci/pull/321,Main Meta-Ticket,No,,,,,,,,,,
DP80,D2,improve performance when setting up environment,https://github.com/ros2/ros2/issues/764,Main Meta-Ticket,Yes,,,,"otimização de desempenho, configuração ambiente",,,,,,
DP81,D2,Restrict DDS middleware network traffic to localhost,https://github.com/ros2/ros2/issues/798,Main Meta-Ticket,Yes,,,,"comunicação, segurança",,,,,,
DP82,D2,add support for STREAM logging macros rclcpp,https://github.com/ros2/rclcpp/pull/926,Main Meta-Ticket,No,,,,,,,,,,
DP83,D2,Per-node output logging meta-ticket,https://github.com/ros2/ros2/issues/789,Main Meta-Ticket,No,,,,,,,,,,
DP84,D2,Added ros2interface to replace ros2 msg/srv ros2cli,https://github.com/ros2/ros2cli/pull/288,Main Meta-Ticket,No,,,,,,,,,,
DP85,D2,Proof of concept part of cpython extension using Pybind11 rclpy,https://github.com/ros2/rclpy/pull/173,Main Meta-Ticket,No,,,,,,,,,,
DP86,D2,turtlesim for ROS2 ros/ros_tutorials,https://github.com/ros/ros_tutorials/pull/53,Main Meta-Ticket,No,,,,,,,,,,
DP87,D2,Split recordings into chunks by size while recording rosbag2,https://github.com/ros2/rosbag2/issues/150,Main Meta-Ticket,No,,,,,,,,,,
DP88,D2,Added static single threaded executor functionality rclcpp,https://github.com/ros2/rclcpp/pull/873,Main Meta-Ticket,Yes,,,,"execução  em um único thread, consumo de recursos",,,,,,
DP89,D2,Support zero-copy in ROS2,https://github.com/ros2/ros2/issues/785,Main Meta-Ticket,Yes,,,,"Gestão de memória, eficiência na transferência de dados",,,,,,
DP90,D2,[Windows][ros2] Avoid build break for Visual Studio 2019 v16.3 ros-perception/image_common,https://github.com/ros-perception/image_common/pull/135,Main Meta-Ticket,No,,,,,,,,,,
DP91,D2,[Windows][ros2] Export interfaces for Shared Lib on Windows ros-perception/vision_opencv,https://github.com/ros-perception/vision_opencv/pull/301,Main Meta-Ticket,No,,,,,,,,,,
DP92,D2,[Windows][dashing] Export interfaces for Shared Lib on Windows. teleop_twist_joy,https://github.com/ros2/teleop_twist_joy/pull/14,Main Meta-Ticket,No,,,,,,,,,,
DP93,D2,Design Document for Zero-Copy via Loaned Messages design,https://github.com/ros2/design/pull/256,Main Meta-Ticket,No,,,,,,,,,,
DP94,D2,Various fixes for test failures and compatibility with Eloquent rmw_cyclonedds,https://github.com/ros2/rmw_cyclonedds/pull/20,Main Meta-Ticket,No,,,,,,,,,,
DP95,D2,Reorganize repository eclipse-cyclonedds/cyclonedds,https://github.com/eclipse-cyclonedds/cyclonedds/pull/224,Main Meta-Ticket,No,,,,,,,,,,
DP96,D2,Add support for Cyclone DDS ApexAI/performance_test,https://github.com/ApexAI/performance_test/pull/75,Main Meta-Ticket,Yes,,,,"comunicação, confiabilidade",,,,,,
DP97,D2,OMG DDS Security eclipse-cyclonedds/cyclonedds,https://github.com/eclipse-cyclonedds/cyclonedds/issues/132,Main Meta-Ticket,No,,,,,,,,,,
DP98,D2,"Nav2 should work with Cartographer, other SLAM packages ros-navigation/navigation2",https://github.com/ros-navigation/navigation2/issues/595,Main Meta-Ticket,Yes,,,,"SLAM, precisão",,,,,,
DP99,D2,Support multiple robots navigating simultaneously ros-navigation/navigation2,https://github.com/ros-navigation/navigation2/issues/971,Main Meta-Ticket,No,,,,,,,,,,
DP100,D2,Update updown test ros-navigation/navigation2,https://github.com/ros-navigation/navigation2/pull/1018,Main Meta-Ticket,No,,,,,,,,,,
DP101,D2,Enabling persistent robot pose across node restarts ros-navigation/navigation2,https://github.com/ros-navigation/navigation2/issues/290,Main Meta-Ticket,No,,,,,,,,,,
DP102,D2,Planner interface and action interface for local planners ros-navigation/navigation2,https://github.com/ros-navigation/navigation2/pull/1045,Main Meta-Ticket,No,,,,,,,,,,
DP103,D2,[launch] Multi-machine Launching launch,https://github.com/ros2/launch/issues/79,Main Meta-Ticket,No,,,,,,,,,,
DP104,D2,Replace openssl subprocess calls with python cryptography library sros2,https://github.com/ros2/sros2/issues/109,Main Meta-Ticket,Yes,,,,"segurança, eficiência",,,,,,
DP105,D2,Design document for Node Interface Definition Language (IDL) design,https://github.com/ros2/design/pull/266,Main Meta-Ticket,No,,,,,,,,,,
DP106,D2,add mypy support for linters/testing ament/ament_lint,https://github.com/ament/ament_lint/pull/154,Main Meta-Ticket,No,,,,,,,,,,
DP107,D2,Add param dump <node-name> ros2cli,https://github.com/ros2/ros2cli/pull/285,Main Meta-Ticket,No,,,,,,,,,,
DP108,D2,Add pkg xml verb ros2cli,https://github.com/ros2/ros2cli/pull/280,Main Meta-Ticket,No,,,,,,,,,,
DP109,D2,add 'topic type' verb ros2cli,https://github.com/ros2/ros2cli/pull/272,Main Meta-Ticket,No,,,,,,,,,,
DP110,D2,add 'service find' verb ros2cli,https://github.com/ros2/ros2cli/pull/274,Main Meta-Ticket,No,,,,,,,,,,
DP111,D2,Add 'service type' verb ros2cli,https://github.com/ros2/ros2cli/pull/273,Main Meta-Ticket,No,,,,,,,,,,
DP112,D2,Add 'topic find' verb ros2cli,https://github.com/ros2/ros2cli/pull/271,Main Meta-Ticket,No,,,,,,,,,,
DP113,D2,Add topic pub prototype completer ros2cli,https://github.com/ros2/ros2cli/pull/299,Main Meta-Ticket,No,,,,,,,,,,
DP114,D2,Add service call prototype completer ros2cli,https://github.com/ros2/ros2cli/pull/300,Main Meta-Ticket,No,,,,,,,,,,
DP115,D2,Add action send_goal prototype completer ros2cli,https://github.com/ros2/ros2cli/pull/301,Main Meta-Ticket,No,,,,,,,,,,
DP116,D2,Porting to ROS2 ?? ros-teleop/teleop_tools,https://github.com/ros-teleop/teleop_tools/issues/34,Main Meta-Ticket,No,,,,,,,,,,
DP117,D2,eProsima/Fast-DDS,https://github.com/eProsima/Fast-DDS/issues/630,Main Meta-Ticket,Yes,,,,comunicação. escalabilidade,,,,,,
DP118,D2,aliasrobotics/RVD,https://github.com/aliasrobotics/RVD/issues/509,Main Meta-Ticket,No,,,,,,,,,,
DP119,D2,ros2/ros2,https://github.com/ros2/ros2/issues/734,Main Meta-Ticket,No,,,,,,,,,,
DP120,D2,ros2/ros2cli,https://github.com/ros2/ros2cli/pull/283,Main Meta-Ticket,No,,,,,,,,,,
DP121,D2,relational database,https://github.com/ApexAI/performance_test/pull/84,Main Meta-Ticket,No,,,,,,,,,,
DP122,D2,add mechanism to pass rmw impl specific payloads during pub/sub creation,https://github.com/ros2/rclcpp/pull/882,Main Meta-Ticket,No,,,,,,,,,,
DP123,D2,https://github.com/ros2/sros2/pulls?q=is%3Apr+is%3Aclosed+author%3Apbaughman,https://github.com/ros2/sros2/pulls?q=is%3Apr+is%3Aclosed+author%3Apbaughman,Main Meta-Ticket,No,,,,,,,,,,
DP124,D2,cross-compilation for ARM,https://github.com/ApexAI/performance_test/pull/101,Main Meta-Ticket,No,,,,,,,,,,
DP125,D2,adding CPU load statistics,https://github.com/ApexAI/performance_test/pull/99,Main Meta-Ticket,No,,,,,,,,,,
DP126,D2,multicast auto-tune for wifi,https://github.com/eclipse-cyclonedds/cyclonedds/pull/222,Main Meta-Ticket,Yes,,,,"comunicação, transmissão de dados multicast",,,,,,
DP127,D2,patch,https://github.com/ros2/rcl/pull/509,Main Meta-Ticket,No,,,,,,,,,,
DP128,D3,The fix was originally submitted in rmw_fastrtps#429 and later backported to Foxy in rmw_fastrtps#577.,-,Documentation,Yes,,,,estabilidade e compatibilidade,,,,,,
DP129,D3,"As of Foxy, all logging messages at all severity levels get logged to stderr by default.",-,Documentation,No,,,,,,,,,,
DP130,D3,"2D Pose Estimate’, ‘2D Nav Goal’, and ‘Publish Point’ tools now timestamp their messages using ROS time instead of system time, in order for the use_sim_time parameter to have an effect on them.",-,Documentation,No,,,,,,,,,,
DP131,D3,Patch Release 8: Launch GroupAction scopes environment,-,Documentation,No,,,,,,,,,,
DP132,D3,Launch set_env frontend behavior change,-,Documentation,No,,,,,,,,,,
DP133,D3,A refactor of the launch frontend parser fixed some issues parsing special characters.,-,Documentation,No,,,,,,,,,,
DP134,D3,API was changed in the following header files: rmw_fastrtps_dynamic_cpp/TypeSupport.hpp,-,Documentation,No,,,,,,,,,,
DP135,D3,Bug in static_transform_publisher,-,Documentation,No,,,,,,,,,,
DP136,D3,Classic CMake vs. modern CMake,-,Documentation,No,,,,,,,,,,
DP137,D3,The CMake function ament_export_interfaces from the package ament_cmake_export_interfaces has been deprecated in favor of the function ament_export_targets in the new package ament_cmake_export_targets,-,Documentation,No,,,,,,,,,,
DP138,D3,The packages rosidl_generator_c and rosidl_generator_cpp have been refactored with many headers and sources moved into the new packages rosidl_runtime_c and rosidl_runtime_cpp.,-,Documentation,No,,,,,,,,,,
DP139,D3,The default working directory for tests added with ament_add_test has been changed to CMAKE_CURRENT_BINARY_DIR to match the behavior of CMake add_test.,-,Documentation,No,,,,,,,,,,
DP140,D3,The default console logging output format was changed to include the timestamp by default.,-,Documentation,No,,,,,,,,,,
DP141,D3,"As of Foxy, all logging messages at all severity levels get logged to stderr by default.",-,Documentation,No,,,,,,,,,,
DP142,D3,launch_ros: Node name and namespace parameters changed,-,Documentation,No,,,,,,,,,,
DP143,D3,rclcp: Change in Advanced Subscription Callback Signature,-,Documentation,No,,,,,,,,,,
DP144,D3,The pull request ros2/rclcpp#1081 introduces a new signature of the callbacks for retrieving ROS messages in serialized form.,-,Documentation,No,,,,,,,,,,
DP145,D3,"With pull request ros2/rclcpp#1069, the signature of node interface getters has been modified to return shared ownership of node interfaces [...]",-,Documentation,No,,,,,,,,,,
DP146,D3,"Instead, use the rclcpp::Node methods add_on_set_parameters_callback and remove_on_set_parameters_callback for adding and removing functions that are called when parameters are set.",-,Documentation,No,,,,,,,,,,
DP147,D3,"With pull request ros2/rclcpp#1119, the signature of publisher handle getter has been modified to return shared ownership of the underlying rcl structure [...]",-,Documentation,No,,,,,,,,,,
DP148,D3,"rclcpp_action: ""Deprecate ClientGoalHandle::async_result()",-,Documentation,No,,,,,,,,,,
DP149,D3,rclpy: Support for multiple on parameter set callbacks,-,Documentation,No,,,,,,,,,,
DP150,D3,rmw_connext_cpp: Connext 5.1 locator kinds compatibility mode,-,Documentation,No,,,,,,,,,,
DP151,D3,"rviz: ""Tools timestamp messages using ROS time"" : ‘2D Pose Estimate’, ‘2D Nav Goal’, and ‘Publish Point’ tools now timestamp their messages using ROS time instead of system time [...]",-,Documentation,No,,,,,,,,,,
DP152,D3,"std_msgs: ""Deprecation of messages"" : Although discouraged for a long time we have officially deprecated the following messages in std_msgs.",-,Documentation,No,,,,,,,,,,
DP153,D3,"Security features: ""Use of security enclaves"" : As of Foxy, domain participants are no longer mapped directly to ROS nodes. As a result, ROS 2 security features (which are specific to domain participants) are also no longer mapped directly to ROS nodes [...]",-,Documentation,No,,,,,,,,,,
DP154,D3,"Renaming of the environment variables: ""Environment variables renaming",-,Documentation,No,,,,,,,,,,
DP155,D3,"Known Issues: ""Services’ performance is flaky for rclcpp nodes using eProsima Fast-RTPS or ADLINK CycloneDDS as RMW implementation."" : ros2/ros2#922 Services’ performance is flaky for rclcpp nodes using eProsima Fast-RTPS or ADLINK CycloneDDS as RMW implementation. [...]",-,Documentation,Yes,,,,comunicação. instabilidade,,,,,,
DP156,D3,Reconsider Node to Participant mapping design,https://github.com/ros2/design/pull/250,Main Meta-Ticket,No,,,,,,,,,,
DP157,D3,Add a Command substitution launch,https://github.com/ros2/launch/issues/366,Main Meta-Ticket,No,,,,,,,,,,
DP158,D3,Improve Python API rosbag2,https://github.com/ros2/rosbag2/issues/232,Main Meta-Ticket,Yes,,,,"Aprimoramento API Python, manipulação de dados",,,,,,
DP159,D3,ament_nodl: 0.1.0-1 in 'foxy/distribution.yaml' [bloom] ros/rosdistro,https://github.com/ros/rosdistro/pull/25203,Main Meta-Ticket,No,,,,,,,,,,
DP160,D3,nodl: 0.1.0-1 in 'foxy/distribution.yaml' [bloom] ros/rosdistro,https://github.com/ros/rosdistro/pull/25250,Main Meta-Ticket,No,,,,,,,,,,
DP161,D3,Install security plugins eclipse-cyclonedds/cyclonedds,https://github.com/eclipse-cyclonedds/cyclonedds/pull/432,Main Meta-Ticket,No,,,,,,,,,,
DP162,D3,Add Security Logging Plugin. eProsima/Fast-DDS,https://github.com/eProsima/Fast-DDS/pull/1125,Main Meta-Ticket,No,,,,,,,,,,
DP163,D3,Add basic support for security logging plugin rmw_fastrtps,https://github.com/ros2/rmw_fastrtps/pull/362,Main Meta-Ticket,No,,,,,,,,,,
DP164,D3,Add basic support for security logging plugin rmw_connext,https://github.com/ros2/rmw_connext/pull/404,Main Meta-Ticket,No,,,,,,,,,,
DP165,D3,Enable use of Cyclone DDS security features rmw_cyclonedds,https://github.com/ros2/rmw_cyclonedds/pull/123,Main Meta-Ticket,No,,,,,,,,,,
DP166,D3,colcon plugin: support ROS 2 Eloquent canonical/snapcraft,https://github.com/canonical/snapcraft/pull/2835,Main Meta-Ticket,No,,,,,,,,,,
DP167,D3,tests: don't assume euid != 0 ros-infrastructure/rosdep,https://github.com/ros-infrastructure/rosdep/pull/703,Main Meta-Ticket,No,,,,,,,,,,
DP168,D3,Guard next(inter) ros-infrastructure/rosdep,https://github.com/ros-infrastructure/rosdep/pull/701,Main Meta-Ticket,No,,,,,,,,,,
DP169,D3,api: reorganize keystore API sros2,https://github.com/ros2/sros2/pull/188,Main Meta-Ticket,No,,,,,,,,,,
DP170,D3,api: reorganize policy API sros2,https://github.com/ros2/sros2/pull/190,Main Meta-Ticket,No,,,,,,,,,,
DP171,D3,api: reorganize permission API sros2,https://github.com/ros2/sros2/pull/191,Main Meta-Ticket,No,,,,,,,,,,
DP172,D3,api: reorganize artifact generation API sros2,https://github.com/ros2/sros2/pull/195,Main Meta-Ticket,No,,,,,,,,,,
DP173,D3,distro: include vcs_type when generating rosinstall ros-infrastructure/rosinstall_generator,https://github.com/ros-infrastructure/rosinstall_generator/pull/64,Main Meta-Ticket,No,,,,,,,,,,
DP174,D3,Support tar sources and releases ros-infrastructure/rosdistro,https://github.com/ros-infrastructure/rosdistro/pull/151,Main Meta-Ticket,No,,,,,,,,,,
DP175,D3,Liveliness QoS implementation (rebase/squash) eclipse-cyclonedds/cyclonedds,https://github.com/eclipse-cyclonedds/cyclonedds/pull/342,Main Meta-Ticket,No,,,,,,,,,,
DP176,D3,Cache serialization info when CDRWriter is constructed rmw_cyclonedds,https://github.com/ros2/rmw_cyclonedds/pull/80,Main Meta-Ticket,No,,,,,,,,,,
DP177,D3,Improvements to rmw for deterministic execution design,https://github.com/ros2/design/issues/259,Main Meta-Ticket,No,,,,,,,,,,
DP178,D3,Waitset timestamp fields rcl,https://github.com/ros2/rcl/pull/591,Main Meta-Ticket,No,,,,,,,,,,
DP179,D3,Add timestamps to rmw-internal structures. rmw,https://github.com/ros2/rmw/pull/200,Main Meta-Ticket,No,,,,,,,,,,
DP180,D3,Design Document for Zero-Copy via Loaned Messages design,https://github.com/ros2/design/pull/256,Main Meta-Ticket,No,,,,,,,,,,
DP181,D3,add ability to wait on subscriptions without an executor rclcpp,https://github.com/ros2/rclcpp/issues/520,Main Meta-Ticket,No,,,,,,,,,,
DP182,D3,"Costmap Filters (keep out, preferred lanes, slow/safety zones) ros-navigation/navigation2",https://github.com/ros-navigation/navigation2/issues/1263,Main Meta-Ticket,No,,,,,,,,,,
DP183,D3,"New Default SLAM In ROS2: Maintainership, Process, Release, Testing, Oh My! SteveMacenski/slam_toolbox",https://github.com/SteveMacenski/slam_toolbox/issues/151,Main Meta-Ticket,No,,,,,,,,,,
DP184,D3,Characterize the navigation reliability - The Office Marathon 2 ros-navigation/navigation2,https://github.com/ros-navigation/navigation2/issues/929,Main Meta-Ticket,No,,,,,,,,,,
DP185,D3,Website improvements ros-navigation/navigation2,https://github.com/ros-navigation/navigation2/issues/1228,Main Meta-Ticket,No,,,,,,,,,,
DP186,D3,part of ros-core,https://github.com/ros2/variants/pull/24,Main Meta-Ticket,No,,,,,,,,,,
DP187,D3,diagnostics aggregator,https://github.com/ros/diagnostics/pull/118,Main Meta-Ticket,No,,,,,,,,,,
DP188,D3,Expend RMW API to list publishers/subscribers QoS options,https://github.com/ros2/rmw/pull/186,Main Meta-Ticket,No,,,,,,,,,,
DP189,D3,"Enhanced ros2 topic info to display node name, node namespace, topic type and qos profile of the publishers and subscribers",https://github.com/ros2/ros2cli/pull/385,Main Meta-Ticket,No,,,,,,,,,,
DP190,D3,ros2node info,https://github.com/ros2/ros2cli/pull/463,Main Meta-Ticket,No,,,,,,,,,,
DP191,D3,ros2node list,https://github.com/ros2/ros2cli/pull/462,Main Meta-Ticket,No,,,,,,,,,,
DP192,D3,Warning users when a single launch files contain multiple nodes with similar names,https://github.com/ros2/launch_ros/pull/127,Main Meta-Ticket,No,,,,,,,,,,
DP193,D3,REP-2001: minimal C++ ROS 2 variant,https://github.com/ros-infrastructure/rep/pull/231,Main Meta-Ticket,No,,,,,,,,,,
DP194,D3,REP-2004: ROS 2 Core Quality Level Definition,https://github.com/ros-infrastructure/rep/pull/218,Main Meta-Ticket,No,,,,,,,,,,
DP195,D3,WIP,https://github.com/ros-infrastructure/rep/pull/225,Main Meta-Ticket,No,,,,,,,,,,
DP196,D3,quality/security discussions,https://github.com/ros-infrastructure/rep/pull/218#discussion_r370583550,Main Meta-Ticket,No,,,,,,,,,,
DP197,D3,another row of “formal” feedback,https://github.com/mikaelarguedas/rep/pull/1#discussion_r393230990,Main Meta-Ticket,No,,,,,,,,,,
DP198,D4,"Ability to specify per-logger log levels: ""It is now possible to specify different logging levels for different loggers on the command line [...]""",-,Documentation,No,,,,,,,,,,
DP199,D4,"Ability to configure logging directory through environment variables: ""It is now possible to configure the logging directory through two environment variables: ROS_LOG_DIR and ROS_HOME [...]""",-,Documentation,No,,,,,,,,,,
