ID,Distribution_ID,Text_Fragment,,URL do PR,Source,Potential EE,Duplicado,Relacionado,Main-Feature,Tipo da Melhoria (final),,Class,#,,,,,,
DP81,D2,Restrict DDS middleware network traffic to localhost,,https://github.com/ros2/ros2/issues/798,Main Meta-Ticket,Yes,,,DP56,network communication,,network communication,0,6,2,3,0,0,0
DP88,D2,Added static single threaded executor functionality rclcpp,,https://github.com/ros2/rclcpp/pull/873,Main Meta-Ticket,Yes,,,,threading,,memory management,5,2,0,1,0,0,0
DP89,D2,Support zero-copy in ROS2,,https://github.com/ros2/ros2/issues/785,Main Meta-Ticket,Yes,,,DP55,memory management,,log management,0,0,1,1,0,1,2
DP96,D2,Add support for Cyclone DDS ApexAI/performance_test,,https://github.com/ApexAI/performance_test/pull/75,Main Meta-Ticket,Yes,,,,network communication,,node architecture,3,0,0,0,0,0,0
DP98,D2,"Nav2 should work with Cartographer, other SLAM packages ros-navigation/navigation2",,https://github.com/ros-navigation/navigation2/issues/595,Main Meta-Ticket,Yes,,,,additional package,,intreaprocess communication,2,0,0,0,0,1,0
DP104,D2,Replace openssl subprocess calls with python cryptography library sros2,,https://github.com/ros2/sros2/issues/109,Main Meta-Ticket,Yes,,,,library switch,,threading,0,1,0,0,0,1,1
DP117,D2,eProsima/Fast-DDS,,https://github.com/eProsima/Fast-DDS/issues/630,Main Meta-Ticket,Yes,,,,network communication,,data visualization,0,0,0,0,1,1,1
DP126,D2,multicast auto-tune for wifi,,https://github.com/eclipse-cyclonedds/cyclonedds/pull/222,Main Meta-Ticket,Yes,,,,network communication,,environment launching,0,1,0,0,0,1,0
DP128,D3,The fix was originally submitted in rmw_fastrtps#429 and later backported to Foxy in rmw_fastrtps#577.,,-,Documentation,Yes,,,,network communication,,package improvement,0,0,0,1,1,0,0
DP155,D3,"Known Issues: ""Services’ performance is flaky for rclcpp nodes using eProsima Fast-RTPS or ADLINK CycloneDDS as RMW implementation."" : ros2/ros2#922 Services’ performance is flaky for rclcpp nodes using eProsima Fast-RTPS or ADLINK CycloneDDS as RMW implementation. [...]",,-,Documentation,Yes,,,,network communication,,node lifecycle,1,0,0,0,0,0,0
DP158,D3,Improve Python API rosbag2,,https://github.com/ros2/rosbag2/issues/232,Main Meta-Ticket,Yes,,,,log management,,data structure,1,0,0,0,0,0,0
DP209,D4,"Support for unique network flows: ""Applications may now require UDP/TCP and IP-based RMW implementations to provide unique network flows...""",,-,Documentation,Yes,,,,network communication,,additional package,0,1,0,0,0,0,0
DP215,D4,"performance testing package and performance improvements: ""A thorough performance analysis project was performed on rosbag2 since the Foxy release...""",,https://github.com/ros2/rosbag2/blob/galactic/rosbag2_performance/rosbag2_performance_benchmarking/docs/rosbag2_performance_improvements.pdf,Documentation,Yes,,,,log management,,library switch,0,1,0,0,0,0,0
DP220,D4,"Default RMW changed to Eclipse Cyclone DDS: ""During the Galactic development process, the ROS 2 Technical Steering Committee voted to change the default ROS middleware (RMW) to Eclipse Cyclone DDS project...""",,-,Documentation,Yes,,,,network communication,,,12,12,3,6,2,5,4
DP221,D4,"Connext RMW changed to rmw_connextdds: ""A new RMW for Connext called rmw_connextdds was merged for Galactic...""",,-,Documentation,Yes,,,DP220,network communication,,,,,,,,,
DP222,D4,"Large improvements in testing and overall quality: ""Galactic contains many changes that fix race conditions, plug memory leaks, and fix user reported problems...""",,-,Documentation,Yes,,,,memory management,,,,,,,,,
DP226,D4,"nav2: ""Changes include, but are not limited to, a number of stability improvements, new plugins, interface changes, costmap filters...""",,-,Documentation,Yes,,,,package improvement,,D1,Dashing,12,,,,,
DP247,D5,Allow rendering of objects > 100 meters: A new configuration property called “Far Plane Distance” in the rviz camera plugin allows that rendering distance to be configured.,,-,Documentation,Yes,,,,package improvement,,D2,Eloquent,12,,,,,
DP248,D5,"Support Textures and Embedded Meshes for Marker Messages: These two additions will improve the ability to both visualize data in new ways with standard messages and, simultaneously, enable the ability to track this data in rosbag.",,-,Documentation,Yes,,,,data visualization,,D3,Foxy,3,,,,,
DP299,D6,Ability to specify a condition to a ComposableNode: It is now possible to specify a condition that must be satisfied for a ComposableNode to be inserted.,,https://github.com/ros2/launch_ros/pull/311,Documentation,Yes,,,,environment launching,,D4,Galactic,6,,,,,
DP318,D6,"Default number of threads for multi-threaded executor has been changed: ""If the user doesn’t specify otherwise, the default number of threads for the multi-threaded executor will be set to the number of CPUs on the machine.""",,https://github.com/ros2/rclcpp/pull/2032,Documentation,Yes,,,,threading,,D5,Humble,2,,,,,
DP321,D6,"Improve the performance of message logging: ""The code used to output a log message when RCUTILS_LOG_* or RCLCPP_* was optimized to reduce overhead.""",,-,Documentation,Yes,,,,log management,,D6,Iron,5,,,,,
DP334,D6,"Camera display plugin respects the ROI in the CameraInfo message: ""The CameraDisplay plugin now honors the region-of-interest (ROI) settings in the CameraInfo message.""",,-,Documentation,Yes,,,,data visualization,,D7,Jazzy,4,,,,,
DP337,D6,"New tracepoints for rclcpp intra-process are added: ""New tracepoints have been added to support rclcpp intra-process communication.""",,-,Documentation,Yes,,,,intreaprocess communication,,,,,,,,,
DP359,D7,"Added compression threads priority to record options: ""It is now possible to specify the priority of the thread that performs compression.""",,https://github.com/ros2/rosbag2/pull/1457,Documentation,Yes,,,,threading,,,,,,,,,
DP370,D7,"Camera info display: ""It is possible to visualize CameraInfo messages in the 3D scene.""",,-,Documentation,Yes,,,,data visualization,,,,,,,,,
DP385,D7,"Improve performance in SqliteStorage::get_bagfile_size(): ""This minimizes the probability of losing messages during bag split operation when recording with the SQLite3 storage plugin.""",,https://github.com/ros2/rosbag2/pull/1516,Documentation,Yes,,,,log management,,,,,,,,,
DP386,D7,"Improved performance and updated rosbag API: ""There are some breaking changes in the rosbag2 API and Ubuntu Noble library versions that required some changes to rqt_bag.""",,https://github.com/ros-visualization/rqt_bag/pull/156,Documentation,Yes,,,,log management,,,,,,,,,
